Capital College Of Informat..,+(91)-771-2410136,0.0,0,"Old Bus Stand, Raipur, Raipur Chhattisgarh, Raipur-Chhattisgarh - 492001",
Kjs Trinity Colleges,+(91)-9152154691,3.9,1035,"Kondhwa Annaex , Yewalewadi, Kondhwa Saswad Road, Kondhwa Budruk, Pune - 411048, Near Khadi Machine Chowk , Near Bopdev Ghat Yewelewadi (Also serves RAIPUR-CHHATTISGARH)",
Sigma Group Of Institutes,+(91)-9152326391,4.5,351,"Sigma Campus, Ajwa-Nimeta Road, Vaghodia, Vadodara - 391760, Opp. Madhavnagar (Also serves RAIPUR-CHHATTISGARH)",
Don Bosco Group Of Institut..,+(91)-9513499001,1.0,1,"Mysore Road, Kumbalgodu, Bangalore - 560074 (Also serves RAIPUR-CHHATTISGARH)",
Aston School And Hostel,+(91)-9152840431,3.4,12,"Aston Hostel ,Godawali Road ,Panchgani, Panchgani - 412805 (Also serves RAIPUR-CHHATTISGARH)",
Brindavan College Of Engine..,+(91)-9152107982,3.9,542,"Dwaraka Nagar, Bagalur Main Road, Dwaraka Nagar, Air Force Station Yelahanka, Bangalore - 560063 (Also serves RAIPUR-CHHATTISGARH)",
My Shiksha Solutions,+(91)-9152359960,4.6,28,"312,Third Floor, Okey Plus Square, Madhyam Marg, Mansarovar, Jaipur - 302020, Near Mansarovar Plaza (Also serves RAIPUR-CHHATTISGARH)",
Roorkee College Of Engineer..,+(91)-9152623645,4.9,1470,"5km Roorkee Haridwar Canal Road, Bajuheri, Roorkee Ho, Roorkee - 247667, Kaliyar (Also serves RAIPUR-CHHATTISGARH)",
Rcp Universe (Group Of Inst..,+(91)-9152172617,4.2,28,"09, Milestone, Roorkee Ho, Roorkee - 247667, Dehradun Highway, Kishanpur (Also serves RAIPUR-CHHATTISGARH)",
Peoples University,+(91)-755-4005270,4.0,15,"Administrative Block A, Peoples Camps Road, Bhanpur, Bhopal - 462010, In Front Of Raja Bhoj Hotel (Also serves RAIPUR-CHHATTISGARH)",
Visvesvaraya Foundation,+(91)-294-2460656,4.7,11,"Tulsi Niketan, Hiran Magri, Sector 4,Main Road, Udaipur City, Udaipur-Rajasthan - 313001, Opposite Hansa Palace (Also serves RAIPUR-CHHATTISGARH)",
